"taxon","auth","gbif","usda"
"Plagiochila shangaica","Steph.","Plagiochila shangaica",
"Plagiochila sichotensis","Bakalin & Vilnet","Plagiochila sichotensis",
"Plagiochila sichuanensis","Grolle & M.L.So","Plagiochila sichuanensis",
"Plagiochila sikorae","Steph.","Plagiochila sikorae",
"Plagiochila similis","Steph.","Plagiochila similis",
"Plagiochila confundens","Lindenb. & Gottsche","Plagiochila simplex",
"Plagiochila confundens var. alpinoides","Herzog","Plagiochila simplex",
"Plagiochila duriei","Gottsche","Plagiochila simplex",
"Plagiochila fendleri","Mont.","Plagiochila simplex",
"Plagiochila portoricensis","Hampe & Gottsche","Plagiochila simplex",
"Plagiochila pulchella","Steph.","Plagiochila simplex",
"Plagiochila scissifolia","Steph.","Plagiochila simplex",
"Plagiochila simplex","(Sw.) Lindenb.","Plagiochila simplex",
"Plagiochila umbrosa","Steph.","Plagiochila simplex",
"Plagiochila parvidentata","Inoue","Plagiochila sisparensis",
"Plagiochila sisparensis","Steph.","Plagiochila sisparensis",
"Plagiochila slateri","Steph.","Plagiochila slateri",
"Plagiochila solitaria","Gottsche ex Steph.","Plagiochila solitaria",
"Plagiochila spathulifolia","Mitt.","Plagiochila spathulifolia",
"Plagiochila spinosa","M.L.So","Plagiochila spinosa",
"Plagiochila caducifolia","Inoue & R.M.Schust.","Plagiochila spinulosa",
"Plagiochila spinulosa","(Dicks.) Dumort.","Plagiochila spinulosa",
"Plagiochila sprucei","Steph.","Plagiochila sprucei",
"Plagiochila abyssinica","Mitt.","Plagiochila squamulosa",
"Plagiochila crispicrista","Steph.","Plagiochila squamulosa",
"Plagiochila crispulocaudata","Gottsche","Plagiochila squamulosa",
"Plagiochila dschaggana","Steph.","Plagiochila squamulosa",
"Plagiochila hochstetteri","Nees ex Lindenb.","Plagiochila squamulosa",
"Plagiochila ruspoliana","Steph.","Plagiochila squamulosa",
"Plagiochila sinuosa","Mitt.","Plagiochila squamulosa",
"Plagiochila squamulosa","Mitt.","Plagiochila squamulosa",
"Plagiochila squamulosa var. crispulocaudata","(Gottsche) Vanden Berghen","Plagiochila squamulosa",
"Plagiochila squamulosa var. sinuosa","(Mitt.) Vanden Berghen","Plagiochila squamulosa",
"Plagiochila staudtiana","Steph.","Plagiochila staudtiana",
"Plagiochila stephanii","Schiffn.","Plagiochila stephanii",
"Plagiochila obscura","Colenso","Plagiochila stephensoniana",
"Plagiochila stephensoniana","Mitt.","Plagiochila stephensoniana",
"Plagiochila stevensiana","Steph.","Plagiochila stevensiana",
"Plagiochila steyermarkii","H.Rob.","Plagiochila steyermarkii",
"Plagiochila bispinosa","Lindenb.","Plagiochila sticticola",
"Plagiochila sticticola","Mont. & Gottsche","Plagiochila sticticola",
"Plagiochila warnstorffii","Steph.","Plagiochila sticticola",
"Plagiochila stipata","Steph.","Plagiochila stipata",
"Plagiochila stolzii","Steph.","Plagiochila stolzii",
"Plagiochila streimannii","Inoue","Plagiochila streimannii",
"Plagiochila acanthoda","Lindenb. & Gottsche","Plagiochila stricta",
"Plagiochila castellonis","Gottsche ex Steph.","Plagiochila stricta",
"Plagiochila guadalupensis","Gottsche ex Steph.","Plagiochila stricta",
"Plagiochila oxyphylla","Spruce","Plagiochila stricta",
"Plagiochila stricta","Lindenb.","Plagiochila stricta",
"Plagiochila strictifolia","Steph.","Plagiochila strictifolia",
"Plagiochila togoensis","Steph.","Plagiochila strictifolia",
"Plagiochila striolata","Steph.","Plagiochila striolata",
"Plagiochila kingiana","Gottsche","Plagiochila strombifolia",
"Plagiochila strombifolia","Taylor ex Lehm.","Plagiochila strombifolia",
"Plagiochila aurea","Steph.","Plagiochila subbidentata",
"Plagiochila magnistipula","Herzog","Plagiochila subbidentata",
"Plagiochila subbidentata","Taylor","Plagiochila subbidentata",
"Plagiochila subcontigua","Herzog","Plagiochila subcontigua",
"Plagiochila subconvoluta","Gottsche","Plagiochila subconvoluta",
"Plagiochila subdenudata","Steph.","Plagiochila subdenudata",
"Plagiochila subfasciculata","Colenso","Plagiochila subfasciculata",
"Plagiochila subfragilis","Inoue","Plagiochila subfragilis",
"Plagiochila subhyalina","Steph.","Plagiochila subhyalina",
"Plagiochila subintegra","Schiffner","Plagiochila subintegra",
"Plagiochila subjavanica","M.L.So","Plagiochila subjavanica",
"Plagiochila sublyallii","M.L.So","Plagiochila sublyallii",
"Plagiochila arborescens","Steph.","Plagiochila subpectinata",
"Plagiochila fagicola","Schiffn.","Plagiochila subpectinata",
"Plagiochila hyadesiana","Besch. & C.Massal.","Plagiochila subpectinata",
"Plagiochila obcuneata","Steph.","Plagiochila subpectinata",
"Plagiochila rectangulata","Steph.","Plagiochila subpectinata",
"Plagiochila subpectinata","Besch. & C.Massal.","Plagiochila subpectinata",
"Plagiochila amazonica","Spruce","Plagiochila subplana",
"Plagiochila hondurensis","Herzog","Plagiochila subplana",
"Plagiochila kegeliana","Steph.","Plagiochila subplana",
"Plagiochila subplana","Lindenb.","Plagiochila subplana",
"Plagiochila tuerckheimii","Steph.","Plagiochila subplana",
"Plagiochila determii","Steph.","Plagiochila subtropica",
"Plagiochila subtropica","Steph.","Plagiochila subtropica",
"Plagiochila subundulata","Lindenb.","Plagiochila subundulata",
"Plagiochila sullivantii","Gottsche ex A.Evans","Plagiochila sullivantii","Plagiochila sullivantii"
"Plagiochila sullivantii var. spinigera","R.M.Schust.","Plagiochila sullivantii var. spinigera","Plagiochila sullivantii var. spinigera"
"Plagiochila sullivantii var. sullivantii","","Plagiochila sullivantii var. sullivantii","Plagiochila sullivantii var. sullivantii"
"Plagiochila sumatrana","Schiffn.","Plagiochila sumatrana",
"Plagiochila bradeana","Steph.","Plagiochila superba",
"Plagiochila conspicua","Taylor ex Spruce","Plagiochila superba",
"Plagiochila cultrifolia","Spruce","Plagiochila superba",
"Plagiochila pichinchensis","Taylor","Plagiochila superba",
"Plagiochila quelchii","Steph.","Plagiochila superba",
"Plagiochila superba","(Nees ex Spreng.) Mont. & Nees","Plagiochila superba",
"Plagiochila verapazana","Steph.","Plagiochila superba",
"Plagiochila macrotricha","Spruce","Plagiochila superba var. macrotricha",
"Plagiochila superba var. macrotricha","(Spruce) Heinrichs","Plagiochila superba var. macrotricha",
"Plagiochila superba var. superba","","Plagiochila superba var. superba",
"Plagiochila suringarii","Steph.","Plagiochila suringarii",
"Plagiochila symmetrica","Steph.","Plagiochila symmetrica",
"Plagiochila tabinensis","Steph.","Plagiochila tabinensis",
"Plagiochila tagawae","Inoue","Plagiochila tagawae",
"Plagiochila taiwanensis","Inoue","Plagiochila taiwanensis",
"Plagiochila talinayi","S.W.Arnell","Plagiochila talinayi",
"Plagiochila tamariscina","Steph.","Plagiochila tamariscina",
"Plagiochila tambillensis","Loitl.","Plagiochila tambillensis",
"Plagiochila tamiensis","Steph.","Plagiochila tamiensis",
"Plagiochila tarapotensis","Steph.","Plagiochila tarapotensis",
"Plagiochila tecta","Inoue & Grolle","Plagiochila tecta",
"Plagiochila tenera","Steph.","Plagiochila tenera",
"Plagiochila bidens","Gottsche","Plagiochila tenuis",
"Plagiochila tenuis","Lindenb.","Plagiochila tenuis",
"Plagiochila tenuispica","Steph.","Plagiochila tenuispica",
"Plagiochila angustissima","Steph.","Plagiochila terebrans",
"Plagiochila bomanensis","Steph.","Plagiochila terebrans",
"Plagiochila hildebrandtii","Steph.","Plagiochila terebrans",
"Plagiochila johannensis","Steph.","Plagiochila terebrans",
"Plagiochila laxifolia","Gottsche","Plagiochila terebrans",
"Plagiochila lindblomii","Pearson","Plagiochila terebrans",
"Plagiochila replicatula","Steph.","Plagiochila terebrans",
"Plagiochila terebrans","Nees & Mont. ex Lindenb.","Plagiochila terebrans",
"Plagiochila thomeensis","Steph.","Plagiochila terebrans",
"Plagiochila ubangiensis","Steph.","Plagiochila terebrans",
"Plagiochila aberrans","Schiffn.","Plagiochila teysmannii",
"Plagiochila cespitans","Steph., 1898","Plagiochila teysmannii",
"Plagiochila gottschei","Schiffn.","Plagiochila teysmannii",
"Plagiochila gottschei var. brachyphylla","Schiffn.","Plagiochila teysmannii",
"Plagiochila latiflora","Schiffn.","Plagiochila teysmannii",
"Plagiochila multifurcata","Steph.","Plagiochila teysmannii",
"Plagiochila semialata","Sande Lac.","Plagiochila teysmannii",
"Plagiochila teysmannii","Sande Lac.","Plagiochila teysmannii",
"Plagiochila thollonii","Steph.","Plagiochila thollonii",
"Plagiochila thrausta","Inoue & Grolle","Plagiochila thrausta",
"Plagiochila thyoides","Spruce","Plagiochila thyoides",
"Plagiochila tonduzana","Steph.","Plagiochila tonduzana",
"Plagiochila tortuosa","Lindenb.","Plagiochila tortuosa",
"Plagiochila tovarina","Gottsche","Plagiochila tovarina",
"Plagiochila trabeculata","Steph.","Plagiochila trabeculata",
"Plagiochila trabeculatospinosa","Herzog","Plagiochila trabeculatospinosa",
"Plagiochila trabutii","Steph.","Plagiochila trabutii",
"Plagiochila innovans","Steph.","Plagiochila trapezoidea",
"Plagiochila intercedens","Schiffn.","Plagiochila trapezoidea",
"Plagiochila oblongiflora","Mitt.","Plagiochila trapezoidea",
"Plagiochila trapezoidea","Lindenb.","Plagiochila trapezoidea",
"Plagiochila vulgarifolia","Steph.","Plagiochila trapezoidea",
"Plagiochila granatensis","Gottsche","Plagiochila trichostoma",
"Plagiochila hans-meyeri","Steph.","Plagiochila trichostoma",
"Plagiochila permista","Spruce","Plagiochila trichostoma",
"Plagiochila saltuensis","Spruce ex Steph.","Plagiochila trichostoma",
"Plagiochila trichostoma","Gottsche","Plagiochila trichostoma",
"Plagiochila tricuspis","Steph.","Plagiochila tricuspis",
"Plagiochila subflabellata","Colenso","Plagiochila trispicata",
"Plagiochila trispicata","Colenso","Plagiochila trispicata",
"Plagiochila tristaniana","Váňa & J.J.Engel","Plagiochila tristaniana",
"Plagiochila tristis","Steph.","Plagiochila tristis",
"Plagiochila tronadoris","Herzog","Plagiochila tronadoris",
"Plagiochila truncata","Gottsche","Plagiochila truncata",
"Plagiochila truncatula","Sande Lac.","Plagiochila truncatula",
"Plagiochila longaeva","Herzog","Plagiochila turgida",
"Plagiochila turgida","Herzog ex Carl","Plagiochila turgida",
"Plagiochila ulata","Inoue & Grolle","Plagiochila ulata",
"Plagiochila uncialis","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees","Plagiochila uncialis",
"Plagiochila undata","Sull.","Plagiochila undata","Plagiochila undata"
"Plagiochila crispata","Gottsche","Plagiochila undata ssp. crispata",
"Plagiochila undata ssp. crispata","(Gottsche) R.M.Schust.","Plagiochila undata ssp. crispata","Plagiochila undata ssp. crispata"
"Plagiochila undata ssp. undata","","Plagiochila undata ssp. undata","Plagiochila undata ssp. undata"
"Plagiochila unduavensis","Steph.","Plagiochila unduavensis",
"Plagiochila ungarangana","Sande Lac.","Plagiochila ungarangana",
"Plagiochila simlana","Mitt. ex Steph.","Plagiochila uniformis",
"Plagiochila uniformis","Mitt.","Plagiochila uniformis",
"Plagiochila usambarana","Steph.","Plagiochila usambarana",
"Plagiochila validissima","Steph.","Plagiochila validissima",
"Plagiochila vandenberghenii","Gradst.","Plagiochila vandenberghenii",
"Plagiochila variadentata","Stephani","Plagiochila variadentata",
"Plagiochila variedentata","Steph.","Plagiochila variedentata",
"Plagiochila vastifolia","Steph.","Plagiochila vastifolia",
"Plagiochila velata","Inoue & Piippo","Plagiochila velata",
"Plagiochila venezuelana","Steph.","Plagiochila venezuelana",
"Plagiochila ventricosotrigona","Steph.","Plagiochila ventricosotrigona",
"Plagiochila verrucosa","Steph.","Plagiochila verrucosa",
"Plagiochila vexans","Schiffn. ex Steph.","Plagiochila vexans",
"Plagiochila viminea","Spruce","Plagiochila viminea",
"Plagiochila depressa","Spruce","Plagiochila vincentina",
"Plagiochila diversispina","Steph.","Plagiochila vincentina",
"Plagiochila hylacoetis","Spruce","Plagiochila vincentina",
"Plagiochila vincentina","Lindenb.","Plagiochila vincentina",
"Plagiochila virginica","A.Evans","Plagiochila virginica","Plagiochila virginica"
"Plagiochila virginica var. caroliniana","R.M.Schust.","Plagiochila virginica var. caroliniana","Plagiochila virginica var. caroliniana"
"Plagiochila virginica var. virginica","","Plagiochila virginica var. virginica","Plagiochila virginica var. virginica"
"Plagiochila viridis","Steph.","Plagiochila viridis",
"Plagiochila reineckeana","Steph.","Plagiochila vitiensis",
"Plagiochila vitiensis","Mitt.","Plagiochila vitiensis",
"Plagiochila vitilevuana","(Schiffn.) M.A.M.Renner","Plagiochila vitilevuana",
"Plagiochila vittiana","Inoue","Plagiochila vittiana",
"Plagiochila vittifolia","Steph.","Plagiochila vittifolia",
"Plagiochila vulcanica","Steph.","Plagiochila vulcanica",
"Plagiochila wacei","S.W.Arnell ex Váňa & J.J.Engel","Plagiochila wacei",
"Plagiochila wallichiana","Steph.","Plagiochila wallichiana",
"Plagiochila wangii","Inoue","Plagiochila wangii",
"Plagiochila wettsteiniana","S.W.Arnell","Plagiochila wettsteiniana",
"Plagiochila weymouthiana","Steph.","Plagiochila weymouthiana",
"Plagiochila wiemanniana","S.W.Arnell & Schiffn.","Plagiochila wiemanniana",
"Plagiochila wightii","Nees ex Lindenb.","Plagiochila wightii",
"Plagiochila wilhelmina","Inoue","Plagiochila wilhelmina",
"Plagiochila wilmsiana","Steph.","Plagiochila wilmsiana",
"Plagiochila winteri","Steph.","Plagiochila winteri",
"Plagiochila wrightii","Steph.","Plagiochila wrightii",
"Plagiochila xalapensis","Gottsche","Plagiochila xalapensis",
"Plagiochila xerophila","Bakalin & Vilnet","Plagiochila xerophila",
"Plagiochila yoshinagana","Steph.","Plagiochila yoshinagana",
"Plagiochila zacuapana","Gottsche","Plagiochila zacuapana",
"Plagiochila zangii","Grolle & M.L.So","Plagiochila zangii",
"Plagiochila zantenii","Inoue","Plagiochila zantenii",
"Plagiochila zhuana","Grolle & M.L.So","Plagiochila zhuana",
"Plagiochila zhuensis","Grolle & M.L.So","Plagiochila zhuensis",
"Plagiochila handelii","Herzog","Plagiochila zonata",
"Plagiochila zonata","Steph.","Plagiochila zonata",
"Plagiochilidium bidentulum","(Steph.) Grolle","Plagiochilidium bidentulum",
"Pseudolophocolea denticulata","R.M.Schust. & J.J.Engel","Pseudolophocolea denticulata",
"Archeophylla pungens","(Herzog) R.M.Schust.","Archeophylla pungens",
"Temnoma pungens","(Herzog) Fulford","Archeophylla pungens",
"Archeophylla schusteri","(E.A.Hodgs. & Allison) R.M.Schust.","Archeophylla schusteri",
"Castanoclobos julaceus","(Hatcher ex J.J.Engel) J.J.Engel & Glenny","Castanoclobos julaceus",
"Leiomitra julacea","Hatcher ex J.J.Engel","Castanoclobos julaceus",
"Chaetocolea palmata","Spruce","Chaetocolea palmata",
"Herzogiaria teres","(Steph.) Fulford ex Hässel","Herzogiaria teres",
"Isophyllaria attenuata","(Rodway) E.A.Hodgs.","Isophyllaria attenuata",
"Isophyllaria fuegiana","(Hässel) R.M.Schust.","Isophyllaria fuegiana",
"Pseudolepicolea andoi","(R.M.Schust.) Inoue","Pseudolepicolea andoi",
"Pseudolepicolea trollii ssp. andoi","(R.M.Schust.) S.Hatt. & Mizut.","Pseudolepicolea andoi",
"Lepicolea fryei","Perss.","Pseudolepicolea fryei",
"Pseudolepicolea fryei","(Perss.) Grolle & Ando","Pseudolepicolea fryei","Pseudolepicolea fryei"
"Pseudolepicolea grolleana","(R.M.Schust.) Grolle","Pseudolepicolea grolleana",
"Archeochaete kuehnemannii","R.M.Schust.","Pseudolepicolea kuehnemannii",
"Pseudolepicolea kuehnemannii","(R.M.Schust.) Hässel","Pseudolepicolea kuehnemannii",
"Lepicolea quadrilaciniata","(Sull.) Steph.","Pseudolepicolea quadrilaciniata",
"Pseudolepicolea quadrilaciniata","(Sull.) Fulford & J.Taylor","Pseudolepicolea quadrilaciniata",
"Pseudolepicolea temnomoides","(R.M.Schust.) Váňa & J.J.Engel","Pseudolepicolea temnomoides",
"Pseudolepicolea trollii","(Herzog) Grolle & Ando","Pseudolepicolea trollii",
"Temnoma angustifolium","R.M.Schust.","Temnoma angustifolium",
"Temnoma chaetophyllum","R.M.Schust.","Temnoma chaetophyllum",
"Temnoma palmatum","(Lindb. ex Pearson) R.M.Schust.","Temnoma palmatum",
"Temnoma palmatum var. cuneatum","R.M.Schust.","Temnoma palmatum var. cuneatum",
"Temnoma palmatum var. laxifolium","R.M.Schust.","Temnoma palmatum var. laxifolium",
"Temnoma palmatum var. palmatum","","Temnoma palmatum var. palmatum",
"Temnoma palmatum var. pseudospiniferum","R.M.Schust.","Temnoma palmatum var. pseudospiniferum",
"Temnoma patagonicum","R.M.Schust.","Temnoma patagonicum",
"Temnoma paucisetigerum","R.M.Schust.","Temnoma paucisetigerum",
"Temnoma chilense","Fulford","Temnoma pilosum",
"Temnoma pilosum","(A.Evans) R.M.Schust.","Temnoma pilosum",
"Blepharostoma pulchellum","(Hook.) Pearson","Temnoma pulchellum",
"Jungermannia pulchella","Hook.","Temnoma pulchellum",
"Temnoma pulchellum","(Hook.) Mitt. ex Bastow","Temnoma pulchellum",
"Temnoma quadrifidum","(Mitt.) Mitt. ex E.A.Hodgs. & Allison","Temnoma quadrifidum",
"Blepharostoma quadripartitum","(Hook.) Trevis.","Temnoma quadripartitum",
"Temnoma quadripartitum","(Hook.) Mitt.","Temnoma quadripartitum",
"Temnoma quadripartitum var. pseudopungens","R.M.Schust.","Temnoma quadripartitum var. pseudopungens",
"Temnoma quadripartitum var. quadripartitum","","Temnoma quadripartitum var. quadripartitum",
"Temnoma quadripartitum var. randii","(S.W.Arnell) R.M.Schust.","Temnoma quadripartitum var. randii",
"Temnoma subintegrum","Steph. ex Fulford","Temnoma quadripartitum var. randii",
"Blepharostoma setigerum","(Lindenb.) Schiffn.","Temnoma setigerum",
"Temnoma setigerum","(Lindenb.) R.M.Schust.","Temnoma setigerum",
"Temnoma townrowii","R.M.Schust.","Temnoma townrowii",
"Saccogyna ligulata","Steph.","Saccogyna ligulata",
"Saccogyna subacuta","Steph.","Saccogyna subacuta",
"Chiloscyphus viticulosus","(L.) Lindb.","Saccogyna viticulosa",
"Jungermannia viticulosa","L.","Saccogyna viticulosa",
"Saccogyna viticulosa","(L.) Dumort.","Saccogyna viticulosa",
"Andrewsianthus aberrans","(Nees & Mont.) Grolle","Andrewsianthus aberrans",
"Andrewsianthus bidens","(Mitt. ex Steph.) R.M.Schust.","Andrewsianthus bidens",
"Andrewsianthus bilobus","(Mitt.) Grolle","Andrewsianthus bilobus",
